kepid,koi_disposition,koi_period,koi_prad,koi_teq,koi_score,koi_steff,koi_srad,koi_insol,stellar_class,is_planet,transit_ratio
5456651,CONFIRMED,11.76307164,2.35,616.0,1.0,4959.0,0.756,33.99,K,1,88.18274951864528
5456651,CONFIRMED,56.2279271,2.37,366.0,0.878,4959.0,0.756,4.22,K,1,15.342909555703681
5481416,FALSE POSITIVE,2.384052875,17.06,1010.0,0.0,4794.0,0.701,244.87,K,0,531.9093436633615
5531576,CONFIRMED,7.953547,2.25,696.0,1.0,4768.0,0.779,55.37,K,1,110.06410096023824
5531576,CONFIRMED,4.14451656,1.48,864.0,1.0,4768.0,0.779,132.08,K,1,94.5345480776653
5534814,FALSE POSITIVE,4.859386384,38.33,1114.0,0.0,6072.0,0.988,364.23,F,0,999.4471762918781
6291653,CONFIRMED,10.526294577,8.24,713.0,0.999,5386.0,0.793,61.16,G,1,461.38742978102766
6392727,CONFIRMED,4.583520948,5.39,1038.0,1.0,5815.0,0.877,274.98,G,1,831.6968643207343
6422070,CONFIRMED,3.76181843,2.66,1121.0,0.876,5653.0,0.949,372.62,G,1,135.73222884125218
6428700,CONFIRMED,8.20396958,3.01,742.0,1.0,5015.0,0.826,71.5,K,1,124.86638206184085
6428700,CONFIRMED,14.49645186,3.01,613.0,1.0,5015.0,0.826,33.48,K,1,44.6661021781919
5792202,CONFIRMED,6.54626149,2.19,810.0,1.0,5251.0,0.817,101.78,G,1,100.19459213505998
5794379,CONFIRMED,12.71809866,2.31,562.0,1.0,4702.0,0.686,23.6,K,1,90.37514417269036
5794379,CONFIRMED,36.06588163,2.64,397.0,0.999,4702.0,0.686,5.88,K,1,43.359538969351405
5881688,CONFIRMED,4.190425659,6.21,1234.0,1.0,6073.0,1.135,547.9,F,1,686.6605529249887
6022556,CONFIRMED,3.709870784,4.35,1151.0,1.0,5727.0,0.978,415.1,G,1,544.5742231004884
6032497,CONFIRMED,16.3297527,3.75,727.0,1.0,5878.0,0.987,66.08,G,1,72.72002349429333
6061119,CONFIRMED,27.807566216,13.84,554.0,0.985,5862.0,0.785,22.24,G,1,174.65390398694933
6191521,CONFIRMED,80.8723469,7.59,452.0,0.942,5510.0,1.238,9.88,G,1,44.571477620862765
6267425,FALSE POSITIVE,3.166465862,26.82,954.0,0.0,4968.0,0.704,196.31,K,0,1376.0451525120532
3531558,CONFIRMED,24.99324319,2.29,712.0,0.912,5718.0,1.317,60.88,G,1,10.786915405515247
6276477,CONFIRMED,10.35533116,2.47,777.0,1.0,5501.0,0.918,86.22,G,1,72.48440328971574
6863998,CONFIRMED,16.08518937,3.68,613.0,1.0,5239.0,0.826,33.43,G,1,89.67255323025148
